Year,SettlementPoint,HourlyVolatility
2016,HB_BUSAVG,0.22948315577685843
2016,HB_HOUSTON,0.07665140397368932
2016,HB_HUBAVG,0.06828399285989149
2016,HB_NORTH,0.0616374184560946
2016,HB_SOUTH,0.1935881819003906
2016,HB_WEST,0.2362316951330836
2017,HB_BUSAVG,0.341139773955729
2017,HB_HOUSTON,0.15512636087497997
2017,HB_HUBAVG,0.1345391575024188
2017,HB_NORTH,0.10524123194013504
2017,HB_SOUTH,0.11303834026469979
2017,HB_WEST,0.32006919475724027
2018,HB_BUSAVG,0.4616466313551484
2018,HB_HOUSTON,0.058650281004746264
2018,HB_HUBAVG,0.07551112825893001
2018,HB_NORTH,0.07520939775202817
2018,HB_SOUTH,0.08144909840323318
2018,HB_WEST,0.4368344673170698
2019,HB_BUSAVG,0.46924105932810234
2019,HB_HOUSTON,0.0650233407781889
2019,HB_HUBAVG,0.07891000077502495
2019,HB_NORTH,0.057885282720722964
2019,HB_PAN,0.7240414184755544
2019,HB_SOUTH,0.6175415813809984
2019,HB_WEST,0.4332365035246897
